Gross Domestic Product at Current Basic Prices (N' Million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Sector,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010 2,2011 1
1. Agriculture,1417.6,1456.6,1605.8,1673.8,1676.4,1691.6,1855,1527.8,1415.2,1711.7,2576.4,3033.7,3092.7,3261.2,4377.99,5872.92,6121.96,7401.64,8033.55,9213.14,10011.46,13580.32,15905.5,18837.19,23799.43,26625.21,27887.45,39204.22,57924.38,69713,84344.61,97464.06,145225.25,231832.67,349244.86,619806.83,841457.07,953549.37,1057584.01,1127693.12,1192910,1594895.53,3357062.94,3624579.49,3903758.69,4773198.38,5940236.97,6757867.73,7981397.32,9186306.05,10310655.64,11590120.18
  (a) Crop Production,1128.2,1152.6,1293.8,1350.4,1319.6,1308,1452.4,1205.8,1094.2,1356.6,1973,2350.7,2257.7,2246.2,2743,3713.51,4113.19,5096.69,5033.36,5547.54,6607.26,10088,11274,12870,16920,19729,20442,31214,48679,56577.43,68416.71,80002.02,120720.11,196133.79,296966.75,527474.39,713786.1,807759.75,892052.66,948183,1000069.45,1337766.57,3050243.47,3275429.22,3478096.41,4228282.24,5291619.08,6024381,7114793.96,8200921.69,9196004.53,10320316.22
  (b) Livestock,120.4,136.4,143.6,131.2,147.8,155.6,155.6,134.8,131.2,144.6,177,192.1,234,334.1,716.77,785.86,1009.84,1238.62,1315.27,1492.51,1870.58,1706.81,2678.61,3510.35,4474.71,4841.62,4994.93,5660.33,6009.19,7970.21,9562.01,10528.75,15565.6,24723.82,36707.48,65704.63,88150.18,98033.82,107013.73,111110.06,116393.38,154495.45,183202.17,202263.06,243887.53,313252.32,378702.61,434151.66,512943.55,583623.47,662143.82,756067.5
  (c) Forestry,133.6,124.8,124.4,148,140.4,150,138.4,73.4,74.2,79.3,146.9,166,205.2,231.9,162.77,323.4,341.5,297.97,298.68,306.79,314.98,1062.19,1067.83,1159.12,1263.96,1344.26,1439.76,1456.22,1703.77,1992.06,2149.05,2232.01,2740.07,3633.33,5479.85,7560.53,9497.9,11500.06,14547.64,17684.27,22436.91,27462.61,33186.13,40421.11,51658.25,61785.79,73461.07,83812.04,99022.65,111071.52,124322.87,140175.63
  (d) Fishing,35.4,42.8,44,44.2,68.6,78,108.6,113.8,115.6,131.2,279.5,324.9,395.8,449,755.45,1050.15,657.43,768.36,1386.24,1866.3,1218.64,723.32,885.06,1297.72,1140.76,710.33,1010.76,873.67,1532.42,3173.3,4216.84,4701.28,6199.47,7341.73,10090.78,19067.28,30022.89,36255.74,43969.98,50715.79,54010.26,75170.9,90431.17,106466.1,130116.5,169878.03,196454.21,215523.03,254637.17,290689.37,328184.43,373560.83
2. Industry,134,165.4,200.4,227.8,246.8,357.6,396,297.8,270.2,547.2,912.5,1422.3,1730.8,2608.9,6159.89,5838.81,8261.61,9600.54,11303.31,15365.17,20174.65,15802.63,14424.7,13596.81,14470.76,18226.39,16392.87,34477.32,41200.31,89596.71,115591.37,136627.7,274755.29,282305.87,283563.1,873884.71,1293225.62,1215912.2,882034.02,1179551.18,2359313.33,1874082.94,2042716.43,3037706.29,4610083.7,6094891.34,7488743.54,8085380.04,9719513.85,8071070.58,15194561.13,16263083.56
  (a) Crude Petroleum & Natural Gas,7,21.2,29,28.8,42.2,106.8,129,71.8,43,230.5,489.6,944.2,1144,1899.2,4108.7,4165.5,6105.91,7071.6,7539.39,10687.66,14137.35,10219.8,8512.94,7388.73,9037.44,11375.15,9558.86,26722.84,29859.19,76530.31,100223.36,116525.82,246827.97,242109.71,219109.26,766517.96,1157911.34,1068978.53,736795.27,1024464.33,2186682.49,1669001.07,1798823.42,2741553.85,4247716.05,5664883.21,6982935.44,7533042.6,9097750.7,7418148.91,14505759.31,15515931.24
  (b) Solid Minerals,19,21.4,25,26,31,36.2,34,31.8,28.6,34.9,44.5,62.3,75.7,87.3,462.18,502.9,691.4,833.36,848.1,861.94,875.09,882.88,864.15,665.12,585.81,428.6,242.89,286.03,323.34,590.89,665.61,745.88,923.31,1209.02,1556.15,2077.16,2417.22,2826.72,3742.31,4140.33,4593.82,6002.55,7067.48,8413.06,13051.33,17301.53,27283.96,31454.41,36190.11,40612.78,45731.59,52430.12
           Coal Mining,2,2,2,2,2.2,2.4,1.8,0.4,0,0,0.4,1.3,1.7,1.6,,,,,,,,1.14,0.55,0.52,0.75,1.4,1.4,1.26,0.91,0.9,0.91,1.71,1.19,0.62,0.86,0.31,0.38,0.42,0.43,0.47,0.53,0.48,0.31,0.31,0.36,0.28,0.3,0.4,0.52,0.6,0.69,0.84
           Metal Ores,8.4,9.8,9.6,10,12.8,12.6,10.8,13,13.4,12.8,11.2,10.6,9,17.6,,,,,,,,16.56,12.7,10.36,9.45,7.43,1.84,10.72,11.59,11.82,12.06,9.12,5.67,5.53,6.57,9.18,10.5,9.9,10.21,10.77,11.53,11.14,11.51,11.42,13.04,14.9,22.21,26.94,31,34.68,39.12,45.05
           Quarrying & Other Mining,8.6,9.6,13.4,14,16,21.2,21.4,18.4,15.2,22.1,32.9,50.4,65,68.1,462.18,502.9,691.4,833.36,848.1,861.94,875.09,865.18,850.9,654.24,575.61,419.77,239.65,274.05,310.84,578.17,652.64,735.05,916.45,1202.87,1548.72,2067.67,2406.34,2816.4,3731.67,4129.09,4581.76,5990.93,7055.66,8401.33,13037.93,17286.35,27261.45,31427.07,36158.59,40577.51,45691.79,52384.23
  (c) Manufacturing,108,122.8,146.4,173,173.6,214.6,233,194.2,198.6,281.8,378.4,415.8,511.1,622.4,1589.02,1170.44,1464.3,1695.58,2915.82,3815.57,5162.21,4699.95,5047.61,5542.96,4847.51,6422.64,6591.12,7468.45,11017.78,12475.51,14702.4,19356,27004.01,38987.14,62897.69,105289.59,132897.06,144106.95,141496.44,150946.52,168037.02,199079.32,236825.53,287739.38,349316.32,412706.6,478524.14,520883.03,585573.04,612308.89,643070.22,694722.21
            Oil Refining,,,,,,,,,,,,,,,,,,,,,,21.06,20.64,14.24,15.25,25.35,10.92,46.07,57.33,170.78,174.92,237.99,481.97,467.21,427.48,1553.33,2440.3,2184.66,1460.95,2297.3,4370.01,13799.65,13808.07,17367.08,22456.58,29037.47,37457.96,41355.76,47582.1,53958.89,61313.74,70654.3
            Cement,,,,,,,,,,,,,,,,,,,,,,194.37,256.33,93.36,60.85,355.02,481.7,424.87,569.98,899.9,679.95,819.4,1001.21,1296.36,1478.79,1886.01,2066.51,2342.26,2277.28,2419.7,2575.4,3230.3,3546.34,4236.04,5477.36,8501.84,11791.64,14916.86,17162.68,19556.59,22230.69,25787.3
            Other Manufacturing,108,122.8,146.4,173,173.6,214.6,233,194.2,198.6,281.8,378.4,415.8,511.1,622.4,1589.02,1170.44,1464.3,1695.58,2915.82,3815.57,5162.21,4484.52,4770.64,5435.36,4771.41,6042.27,6098.5,6997.51,10390.47,11404.83,13847.53,18298.61,25520.83,37223.57,60991.42,101850.25,128390.25,139580.03,137758.21,146229.52,161091.61,182049.37,219471.12,266136.26,321382.38,375167.29,429274.54,464610.41,520828.27,538793.41,559525.79,598280.61
3. Building & Construction,94.8,106.2,112.8,117.8,137,178.2,180.4,154.8,131.4,191.5,269.9,411.5,520.1,578.9,1676.96,1814.57,2605.81,2990.84,3077.19,3192.32,3671.17,2773,2488,2256,1906,1532,1920,2175,2467,3854.45,4350.75,4900.33,6109.72,8019.1,10324.6,13784.38,16042.21,18775.74,24877.83,27527.52,30603.92,40744.13,47985.41,58905.42,166078.47,215786.12,250332.27,266463.99,306581.64,347690.73,394666.15,456039.02
4. Wholesale & Retail Trade,283.6,292.8,313,346.6,380.6,406.2,435.4,356.6,342.2,456.9,670.4,804.2,812.6,929.3,3825.92,4329.17,5501.8,6771.71,7020.51,8725.79,9617.2,6458.67,6617.91,8308.22,8596.89,9186.65,9490.82,14815.78,20748.28,32367.85,35837.66,41792.2,62296.25,100848.89,158394.5,273912.72,357053.01,392343.38,444484.92,485667,527485.4,642697.21,772436.94,922149.87,1484422.36,1868251.3,2741794.53,3044773.87,3503181.7,4082351.76,4648696.98,5388008.55
